Arabic,English
يصنع,He makes
سيبقى,It will remain
مبروك,Congrats!
النقل,Transportation
الحدث,The event
للوقت,time
دكتورة,female doctor
التجربة,The experiment
ترون,You see
نطلب,We request
كبيره,large
الجواب,Answer
مقعد,seat
الناحية,The area
حولها,Around it
الأحلام,Dreams
شأنه,His affair
أرضاً,land
وأيضاً,And also
الجرح,The wound
تشاء,You wish
اما,But
المطلوب,Required
تينا,Tina
سحر,charm
لمجرد,Just for
نرحل,We leave
سمعنا,We heard
مسرورة,Happy
قبعة,hat
بنفسها,By herself
مجرم,criminal
دواء,medicine
مجهول,unknown
الوحوش,monsters
المعتاد,usual
اتفاق,deal
يرد,Reply
إيثان,Ethan
اعترف,I confess
سأموت,I will die
مو,Mo
التنين,Dragon
إجابة,answer
الشرير,The villain
رايت,I saw
اللورد,Lord
الجوية,Air
أنهي,finish
الشرعي,Sharia
الهدايا,Gifts
القومي,National
العدد,number
أندي,dew
الحقائق,Facts
معدل,an average
سروري,My pleasure
إفتح,Open
جونسون,Johnson
أبتعد,I'm leaving
لَكنِّي,But I
حرارة,heat
فهل,"So,"
بيرة,beer
حقيقى,TRUE
طبيبة,doctor
الرياضية,Sports
سنفعله,We will do it
نظيف,clean
أوقات,times
تنوي,Intend
اطفال,children
سرير,bed
متعبة,tired
هاوس,House
اليمنى,Right
وجدتُ,I found
أرني,Show me
بشأنها,Regarding it
مساعدتنا,Help us
ماحدث,What happened
مسابقة,a race
مُجدداً,Again
تصرخ,She screams
إجتماع,meeting
رخصة,license
شرير,evil
نوم,sleep
الجيران,neighbor
الخارجية,Foreign Ministry
القضايا,Cases
يبدون,They appear
ويلي,Willy
هارولد,Harold
وجهها,Her face
اسمعوا,Listen
الكاملة,The complete
الوزراء,Ministers
بسلام,safely
أَعْني,namely
تتركني,Leave me
المسكينة,The poor thing
أفقد,I lost
الراهن,Current
الأرضية,ground
قالته,She said it
كسرت,I broke
تاجر,merchant
سراح,Release
الأخ,Brother
حسنآ,Good
الفتاه,girl
لنخرج,Let's go out
حر,free
تناولت,I ate
الدراجة,The bike
مارس,March
أصعب,hardest
التحقق,Verification
هاهو,Here he is
اعذرني,Excuse me!
الولادة,birth
يفسر,Explains
رفيقي,My friend
الثلاث,The three
ساعديني,Help me
فطيرة,pie
عـن,About
جرعة,dose
اسمعني,Listen to me
تعبت,I'm tired
قطّ,cat
ممن,From among
حالات,cases
متر,meter
ملفات,Files
رأيتِ,I saw
جايسون,Jason
النارية,Fire
أتوقف,I stop
القذرة,dirty
خطأك,Your mistake
أكلت,I ate
جسدك,Your body
الطلب,demand
يذهبون,They go
السابع,Seventh
أسنان,teeth
بام,Bam
ساعه,hour
والدته,His mother
يفتح,Opens
الذاكرة,memory
ماكان,What was
أتعلمون,Do you know
تصريح,a permit
غلطتي,My mistake
الفطور,breakfast
مم,millimeter
أقضي,I spend
ماالذي,What
يُرام,It is desired
نوبة,fit
لإعادة,To return
ليمون,Lemon
عشت,I lived
مصابة,Injured
محقق,investigator
للحديث,To talk
امى,My mom
غاضباً,angry
ذلـك,That
فعلتي,You did
مشترك,subscriber
سنه,year
الأربعة,The four
الفرنسية,French
منهما,From them
إخبار,news
حقوق,rights
كبيرا,large
البساطة,Simplicity
بكَ,With you
قميص,shirt
الشخصي,Personal
بعودتك,Your return
اخترت,I chose
أوسكار,Oscar
أُريد,I want
روسيا,Russia
محمل,loader
هاتفه,His phone
كيفَ,how
إطلاقاً,at all
سيأخذ,He will take
فتاتي,My girl
الموظفين,employees
نبيذ,wine
تسألني,You ask me
اقدر,I can
الجدران,walls
أصمت,Be quiet
زوجكِ,Your husband
مؤسف,regrettable
أفريقيا,Africa
الأمس,yesterday
سأبدأ,I will begin
عقل,mind
سير,progress
كات,Cat
درس,lesson
الرياضة,Sports
الحاجة,The need
كافياً,Enough
المسؤولية,Responsibility
آجل,Okay
رسم,fee
للإهتمام,For attention
ضروري,necessary
ترتيب,ranking
جنوني,insane
أوّل,first
التدخين,Smoking
اعتدت,I got used to
وأنها,And that
جودي,Judy
برأيك,In your opinion
مؤسسة,institution
إختبار,a test
مبلغ,amount
ياسيدي,Sir
فماذا,So what
بعضكم,Some of you
أبوك,Your father
تبًا,Damn
الأساس,basis
يُمكنُ,maybe
هنـاك,There
الفتيان,boys
اجد,I find
الجهة,The entity
بصمات,fingerprints
غدًا,tomorrow
القضاء,judiciary
تحظى,It enjoys
انتما,you
ريكي,Ricky
لكنّها,But she
يثبت,Proves
سأضع,I will put
ريان,Rayyan
يؤثر,Affects
أر,Ar
روحي,spiritual
مساحة,space
للسيد,For Mr.
السقف,ceiling
البطاقة,card
للسجن,For prison
شريكي,My partner
نيت,Nate
أدين,I condemn
الّذي,that
أقصى,maximum
تشتري,Buy
التعبير,Expression
وسائل,means
يؤلم,It hurts
لأنّك,Because you
البندقية,Venice
والت,And
الإنجليزية,English
ساحر,sorcerer
اتضح,It became clear
أستمر,I continue
الغربي,western
العبث,Tampering
أقتلك,I will kill you
هتلر,Hitler
الحادثة,The incident
الخزانة,The treasury
إدوارد,Edward
الضرر,Damage
يُدعى,Called
القس,pastor
بأخذ,Taking
الجمهور,The audience
بالسجن,prison
أطلقوا,Release
سيادة,sovereignty
سعدت,I was happy
سأغادر,I will leave
جديداً,New
الجبن,cheese
أصدقك,I believe you
الاهتمام,interest
ظˆط,ظˆط
مهماً,whatever
المعلم,teacher
الكبار,Adults
ستيفان,Stefan
التقدم,Progress
مستعدين,Ready
يحبك,He loves you
أجب,Answer
باستثناء,except
شـيء,something
بشخص,person
بيري,Perry
لغة,language
ابتعدوا,Stay away
أخبرنى,Tell me
دوما,Always
الملعب,Stadium
المخاطرة,risk
للدخول,To enter
الحاضر,present
الحجر,Stone
لَستُ,I am not
كاسل,Castle
كونه,Being
طبيعة,nature
حظا,Good luck
كذالك,Likewise
إبنك,Your son
وضعها,Her position
القفز,Jumping
هذين,These two
طں,ں
تأخر,delay
يونغ,Young
المزرعة,The farm
بارني,Barney
البيع,Sale
البنات,girls
مونيكا,Monica
أشرح,Explain
تجاوز,Overcome
مشتبه,suspect
تحبها,She loves it
ني,New
الطائر,The bird
تواصل,communication
يكونون,They are
ألمانيا,Germany
أنوي,I intend
الأحذية,shoes
أخذوا,They took
بريد,mail
خبير,expert
تختفي,disappear
دراجة,bike
لهناك,There
أسلوب,style
الصفحة,Page
إسمها,Her name
خذه,Take it
كاي,Kai
أتعامل,I deal
اكره,I hate
عندى,I have
تذاكر,Tickets
جبل,mountain
توقع,anticipation
يستمع,He listens
حفرة,hole
تدور,Turning
لأيّ,For any
أخبروني,Tell me
الداخلي,Interior
عملها,Her work
الاستمرار,Continuation
سأخذ,I will take
قمتُ,I did
أداء,performance
ربّاه,Oh God
استخدمت,Used
مستعداً,Ready
مطلقا,never
أصلاً,originally
اتخاذ,Taking
أووه,Oh
ايجاد,Finding
ثقة,trust
الإفطار,breakfast
انظرى,Look
أمانع,I don't mind
عاصفة,storm
حبيبتى,My dear
مريح,comfortable
ارحل,Leave
الغالب,Most
كريستين,Christine
متي,when
النور,light
ستون,sixty
أظنك,I think you
القطط,cats
أباك,Your father
جوردن,Jordan
الفيروس,virus
المثير,The exciting
بجانبي,Beside me
بيتك,Your home
أمره,His order
الجنسي,sexual
معرض,exhibition
معينة,specific
مضحكاً,Funny
الخريطة,map
تملكين,You own
كرسي,chair
بالغ,adult
للرجل,For the man
أحتاجه,I need it
السري,Secret
صفر,zero
قرية,village
جراحة,surgery
سأدفع,I will pay
نجعل,We make
مزاج,mood
الغرف,rooms
سادة,Masters
أرقام,numbers
يأتى,It comes
قدما,ahead
نتوقف,We stop
بالتحدث,By speaking
انطلق,Start
العيون,eyes
أمان,safety
كَمْ,how much
سكان,population
آسفُ,Sorry
النهائي,Final
طرد,eviction
رأسها,Her head
داخلي,internal
مدرب,trainer
منكما,From you
آر,R
يرسل,Sends
بعيدًا,away
تبحثين,Are you searching?
جوزيف,Joseph
الخارجي,External
قريبًا,almost
عظيماً,Great
الشركات,companies
القذارة,Filth
يسعدني,I am happy
فتحت,Opened
أردته,I wanted it
جلالتك,Your Majesty
المشروبات,Drinks
صغيره,small
المثالي,ideal
إنّني,I
فاشل,failure
الجندي,The soldier
المجنونة,The crazy one
عليكما,You both
يسقط,He falls
وكيل,agent
بات,Bat
احتفظ,keep
بيج,beige
السلة,Basket
يثير,It provokes
متأخرة,Late
مسار,path
التصديق,Certification
بسببي,Because of me
الفائز,winner
تخاف,She's afraid
متحمس,excited
يسأل,He asks
استراحة,break
سنحصل,We will get
المخلوقات,creatures
هُو,he
لديَّ,I have
مصنع,factory
إخرس,silent
إيه,any
إيفان,Ivan
مفيد,useful
بدت,It appeared
إليوت,Elliot
اليهود,Jews
انزل,Go down
صديقه,girlfriend
روني,Ronnie
بالخلف,Back
يجعله,Make him
نحتاجه,We need it
باور,Power
هـو,He
وعندها,And then
يدير,Manages
المدينه,The city
نجمة,a star
التقيت,I met
حبك,Your love
مرح,cheerful
معين,specific
ستيوارت,Stewart
رجاءا,Please
عالق,related
نفعلها,We do it
إلين,Ellen
الجدد,New
القلعة,The castle
محرج,embarrassed
الطريقه,The method
أري,Show
مشهور,famous
علمي,scientific
الاخرى,The other
احضرت,I brought
يقوموا,They do
السيناتور,Senator
طارئة,Emergency
وجودك,Your presence
الفعل,The verb
راقب,watch
اكتشاف,discovery
سماعي,My hearing
السعر,the price
القطعة,piece
تلقى,receive
الاتجاه,trend
والسعة,And capacity
أنفسكم,yourselves
اليسرى,left
بالعودة,Returning
عاش,He lived
يبلغ,It amounts
القميص,shirt
بدلة,suit
جان,Jan
الدقيقة,minute
يعطي,gives
الشبح,The Ghost
اخرجوا,Get out
ممثل,actor
نأكل,We eat
نموت,We die
الملكية,Royalty
اخبر,Tell
المجرمين,criminals
دانييل,Daniel
الرد,Reply
خان,Khan
الأصوات,Voices
الرعاية,Care
حقيبتي,My bag
المثيرة,The exciting
الأشباح,Ghosts
العدل,Justice
النائب,deputy
الأمـر,The matter
وإلى,And to
بصدق,genuinely
الصخور,rocks
إنتظار,waiting
محترف,professional
أراكم,See you
طائر,bird
الطبيعية,natural
حاولوا,Try
ابتعدي,Stay away
مصاص,sucker
ربحت,I won
سامي,Sami
الزوجة,wife
أسرار,Secrets
محكمة,court
قلتها,I said it
الأدوية,pharmaceutical
كانو,They were
السيّارة,The car
سأرسل,I will send
الزرقاء,Blue
سعر,price
تلمس,touch
إذهبوا,Go
بايبر,Piper
ضعه,Put it
بأنّي,That I
نافذة,window
تحويل,transformation
أطفالي,My children
سترى,You will see
ترافيس,Travis
سيّدة,Mrs
سؤالي,My question
ليلاً,night
واصل,Continue
ارتداء,wear
تقدير,appreciation
طفلتي,My child
فيكتوريا,Victoria
أساعد,I help
وأكثر,and more
نسمع,We hear
شيطان,Satan
ديل,Deal
تبادل,exchange
فضلكِ,Your favor
نشر,to publish
وتم,And it was
نترك,We leave
سليم,sound
اهلاً,Hello
إيفا,Eva
أشتري,I buy
لمشاهدة,To watch
وقبل,And before
بقايا,remains
أقابل,I meet
إعلان,advertisement
يدعو,Calls
اعتذر,I apologize
عمك,Your uncle
أهرب,I run away
اتعرف,Do you know?
فاز,beat
الضحك,laughter
السياسة,Politics
أنزل,Download
الجنوبية,Southern
افعله,Do it
حجر,to forbid
لنفعل,Let's do it
ساخن,hot
عودوا,Return
فظيعة,horrible
أتوسل,I beg
نحظى,We have
غضب,anger
غرف,rooms
استيقظت,I woke up
معالجة,to treat
دائم,permanent
وقلت,And I said
عمتي,my paternal aunt
أخوك,Your brother
يقترب,Approaching
لوثر,Luther
بحرية,free
صفحة,page
لبضعة,For a few
سأفعلها,I will do it
نارية,Fire
الحزن,Sadness
ألّا,unless
لَك,for you
الإدارة,Administration
خالي,my maternal uncle
قابلته,I met him
الدب,bear
بالمئة,percent
ستار,Star
خبرة,expertise
رهن,mortgage
القرد,monkey
هوَ,he
ورق,paper
بجانبك,By your side
تكلمت,I spoke
بنى,brown
مثلاً,for example
متأكدا,Sure
روث,dung
صديقنا,Our friend
لَم,did not
نفذ,do
مين,who
ضدّ,against
اثناء,during
كلاي,Clay
بفضل,Thanks
حتماً,Definitely
الاختبار,Test
أنتظري,Wait
التجارية,Commercial
يصرخ,He shouts
حافلة,bus
يملكون,They own
مناقشة,discussion
مارأيك,What is your opinion
الاحترام,Respect
أتفق,I agree
تنفس,breathing
نورمان,Norman
فرانسيسكو,Francisco
ظننتك,I thought you
بيتزا,Pizza
تكره,hate
غني,rich
سأهتم,I will take care
فإنها,It
الشيوخ,Sheikhs
آلان,now
إريك,Eric
الساحرة,The witch
لجميع,For all
حفلات,parties
اتى,came
سنخرج,We will go out
المدى,range
سكر,sugar
أستاذ,Mr
مارج,Marge
للبقاء,To stay
ديلان,Dylan
بعضهما,Some of them
الساعه,the hour
تقدر,Estimated
واضحاً,Clearly
أوين,Owen
ياللهول,Oh my God
وضعنا,Our position
أخاف,I'm afraid
تذكرين,Do you remember?
فعلناها,We did it
بشأني,Regarding me
المضحك,Funny
الحالات,Cases
الشمالي,Northern
لثانية,For a second
نورا,Nora
للجحيم,To hell
طبية,medical
الأسرة,Family
الطبي,The doctor
ميتش,Mitch
أستمتع,I listen
صغيرتي,My little girl
التصويت,Vote
ننسى,We forget
عينة,sample
يخبرك,He tells you
متأسفة,Sorry
قصر,castle
جى,G
خطوط,lines
تقابل,meet
أتركك,I'm leaving you
طوني,Tony
وهى,It is
الرياضيات,mathematics
سراً,secretly
سريعا,Quickly
خطتك,Your plan
موظف,employee
جايمس,James
روك,Rock
الجائزة,The prize
كاتب,writer
ألاّ,unless
لهؤلاء,For these
إبقي,Stay
الينا,Elena
أماه,Mother
لــ,For
الزوج,husband
يساوي,It equals
منزلها,Her house
أتناول,I eat
الساحل,The coast
تخسر,lose
فورا,immediately
الأسرار,Secrets
القنابل,bombs
إفعل,Do
صوتي,My voice
وبما,And with
سمعتك,I heard you
أخرجي,Get out
انتقلت,I moved
أزال,Removed
تلو,Follow
نستخدم,We use
إبقاء,Keep
شجاعة,courage
الأغراض,Purposes
مايلز,Miles
اليكس,Alex
الخشب,wood
محدد,specific
هاريس,Harris
ثاني,second
الزي,The outfit
السفن,ships
أعذرني,Excuse me
الطويل,The long
الملايين,millions
يفعلها,He does it
جئنا,We came
حاولنا,We tried
بنك,Bank
أبني,my son
اللهي,My God
قانونية,legal
ابقوا,Stay
نداء,call
قبلت,I accepted
أحبّك,I love you
وأنتم,And you
متوترة,nervous
المنازل,homes
الفيدرالي,Federal
تسمى,Called
فلدي,I have
كال,Cal
العصابة,The gang
تروي,Narrative
نشعر,We feel
فرصه,an opportunity
عارية,naked
أجزاء,parts
متعلق,related
الحفلات,parties
إنـه,He
الإجتماع,meeting
مجانين,crazy
طفلك,Your child
دراسة,study
السلطات,Authorities
عبد,slave
سؤالك,Your question
ضحك,He laughed
ايمي,Amy
طبقاً,According to
اقسم,I swear
الروس,Russians
كنيسة,church
أعتقدُ,I believe
تحتفظ,retains
قاسي,harsh
أحدنا,One of us
أكرر,I repeat
جسم,body
العناية,Care
باتي,Patty
مازلنا,We are still
الديك,rooster
الظهيرة,midday
لدىّ,I have
بينكما,Between you
تبلغ,It amounts
سمكة,fish
سعادة,happiness
المؤخرة,buttocks
امسك,hold
اخبريني,Tell me
عمّ,paternal uncle
عائلتنا,Our family
حالكِ,Your condition
صغار,young
أوافق,I agree
القرص,disc
تقارير,Reports
الفحص,Examination
كوريا,Korea
الرهان,betting
دمية,dummy
الحزب,The party
أتذكرين,Do you remember?
النحو,Grammar
يسرق,He steals
الشريف,The Sharif
الأغلب,Most
تحكم,control
سترة,jacket
الإسبوع,Week
يجلب,Brings
فكرتي,My idea
هاهي,Here she is
اشتقت,I yearned
المرآة,woman
إيلينا,Elena
الطويلة,The long one
شخصًا,person
الزناد,trigger
الخاصه,Private
تقنية,technique
السهولة,Ease
بلاك,Black
الضيوف,Guests
نيكول,Nicole
تراني,You see me
فخ,trap
بنات,girls
كايسي,Casey
الضخم,The huge
سنأخذ,We will take
صه,Shut up
بمعنى,Meaning
فليس,"So,"
يكتب,He writes
تمانعين,You're objecting?
العصابات,gangs
حسنُ,Hassan
سأعمل,I will work
تضحك,She laughs
رضيع,infant
الوراء,Back
القوى,forces
قاتلة,killer
أعطيتك,I gave you
نكتة,joke
الباقي,the rest
الحيوية,Vitality
أصابع,fingers
للرب,For the Lord
جانبي,side
تجعلك,Make you
أقتله,Kill him
سيّدتي,my lady
إثنين,two
الأحياء,Neighborhoods
رسمياً,officially
تفضّل,Help yourself
نعد,We promise
بشدّة,very much
تتحدثي,You speak
املك,I own
دومًا,Always
صدقيني,Believe me
توافق,agree
فعلتُ,I did
يذكر,It is mentioned
إنما,But
ارسل,Send 
تختار,Choose
ملاك,angel
الثامن,Eighth
ألفا,alpha
المضي,Continue
خلق,create
تركه,He left him
قرارك,Your decision
أجلها,Yes
حضور,presence
تعرفها,You know her
يحتوي,It contains
بأى,By what
كرات,balls
اعتني,care
وفى,And in
السافل,The lowlife
تَعتقدُ,Do you believe
جيفري,Jeffrey
الإنذار,Alarm
نتقابل,Let's meet
اجلك,For you
لانها,Because
موريس,Morris
ينبغى,It should
نَذْهبُ,We go
لطيفا,nice
هناكَ,there
تدعي,She claims
مدمن,addicted
تمشي,walk
يزيد,He increases
نجوم,stars
أفسدت,spoiled
تركتها,I left her
معلم,teacher
تحتوي,Contains
قضيب,rod
الألمان,Germans
الأسوأ,The worst
والداي,My parents
إخفاء,hide
أسرعوا,Hurry up
زاوية,corner
قُتل,killing
شركات,companies
سوق,market
إف,F
شراباً,drink
رأيكِ,Your opinion
رُبما,maybe
أعاني,subsidiary
قتلنا,We killed
لوري,Lori
حزام,belt
استعادة,restoration
تصبحين,You become
أعطيته,I gave it to him
تركها,Leave her
حولي,Around me
أداة,tool
التخلي,Abandonment
الرمز,The symbol
نجلس,We sit
المخرج,Director
تحليل,analysis
.أجل,.Okay
حذرا,Be careful
الحجز,Booking
بداخلها,Inside it
تعيد,Return
كف,palm
رغبة,desire
مطلوب,required
هاربر,Harper
ميلادك,Your birth
فهذه,This
حيلة,trick
أغلقت,Closed
المعروف,The known
ذكريات,memories
مساعدته,Help him
ويلز,Wales
أعتني,care
الجرس,The bell
تجمع,pool
لنفسه,For himself
شأني,My affair
الأخطاء,Mistakes
محال,Impossible
ذراعي,My arm
اشرب,Drink
رئيسك,Your boss
يَبْدو,It seems
إخراج,Directing
ناثان,Nathan
أسمعك,I hear you
تعويذة,mascot
قذرة,dirty
ماركو,Marco
جاستن,Justin
واجب,duty
قلقاً,Anxious
ثانيه,second
تعليق,comment
اجعل,Make
موته,His death
لأقول,To say
الإتجاه,Direction
ممل,boring
بربّك,By God
أخى,my brother
برلين,Berlin
يشرب,He drinks
لوضع,To place
السلوك,behavior
كارا,Kara
قدميك,Your feet
خلاف,dispute
للقتل,to kill
لمقابلة,For an interview
يعرفوا,They know
مكتبه,library
عُد,counting
ويمكن,And it is possible
أستحق,deserve
حرف,character
التخرج,Graduation
بريك,Break
لانا,Lana
أمها,Her mother
.نعم,.Yes
سيبدو,It will look
بالعالم,In the world
بــ,B
عار,shame
أتينا,We came
قضى,He spent
أجري,I performed
والا,Wala
شيءَ,something
للعثور,To find
يعرفه,He knows him
اللذي,The one
المدخل,Entrance
الخيول,horses
لينا,Lena
وجودي,My existence
هوب,Hope
المواقع,Sites
الكافي,Al-Kafi
فكيف,So how
جرب,try
للـ,For
مناسباً,Suitable
الفستان,dress
الاخبار,News
أذاً,if
المقدمة,the introduction
القبطان,Captain
سماعك,Hearing you
فسيكون,It will be
نمط,pattern
تنتمي,Belonging
إلاّ,unless
حالته,His condition
حالتك,Your condition
السينما,cinema
تطابق,match
يَجيءُ,He comes
اسأل,Ask
زوجتى,my wife
كاميرون,Cameron
درو,Drew
مقر,Headquarters
السجلات,Records
وزير,minister
مالاً,Money
مشكلتي,My problem
عذر,an excuse
كرجل,As a man
أمير,prince
انتقل,Move
راين,Ryan
ليون,Leon
أتحدّث,I speak
تحطم,crash
ريس,Rice
الماضى,the past
تولي,Take over
تعتمد,It depends
إصابة,infection
جيرمي,Jeremy
أحلم,I dream
لذيذة,delicious
اعرفه,I know him
نعثر,We find
إيجاده,Finding it
غباء,stupidity
الأساسية,Basic
أكنت,I was
ستحتاج,You will need
عرضت,Presented
ثمل,screwed
المصرف,Bank
غبياً,stupid
النيل,Nile
شخصيا,personally
طھ,Taha
حضرت,I attended
اشهر,Most famous
مبكرا,early
حسابي,My account
وأعرف,And I know
الغرض,Purpose
ظˆظ,ظˆظ
الدائرة,The circle
الفجر,dawn
ناتالي,Natalie
يساعدني,Help me
الممرضة,nurse
ولمَ,Why?
اولاً,Firstly
بالك,Be careful
التقينا,We met
رجلي,My leg
العراق,Iraq
بويد,Boyd
شخصين,two people
أصدّق,I believe
المركبة,vehicle
لوحدها,alone
الانتهاء,Finish
الرسم,The drawing
الدكتورة,Dr.
كـل,All
سيّارة,car
عينيه,His eyes
كلاب,dog
وأنك,And that you
متوقع,expected
كولونيل,colonel
تواجه,Faces
مختلفاً,Different
يفوز,wins
وشأني,And my business
الحديد,Iron
الذئب,wolf
عائد,Returning
غالبا,mostly
جنسية,nationality
خذوا,Take
والنصف,and half
ثروة,wealth
نصبح,We become
أليك,Alec
سماعه,earphone
شربت,I drank
كالي,Kali
يحين,It is time
إنهض,Get up
أتدري,Do you know
الهواتف,Phones
الاخيرة,The last one
احدى,One
تفهمني,You understand me
نحتفل,We celebrate
أبريل,April
تأخذي,Take
شهود,Witnesses
صدر,Issued
القرش,Shark
طفلا,child
دانا,Dana
بعملك,With your work
البنت,girl
عالقة,Stuck
ياعزيزتي,My dear
الأصلية,original
أعطيت,I gave
لكننى,But I
نود,We would like
الإلكتروني,electronic
للوطن,For the homeland
شارلي,Charlie
الثلاجة,refrigerator
الاخرين,others
الكاميرات,Cameras
ضحايا,Victims
السود,Black
سفر,travel
سأريك,I'll show you
خفيفة,light
يومًا,day
وأود,And I would like
يديه,His hands
يرحل,He leaves
كَيفَ,how
خلفه,behind him
ماجي,Maggie
تَعْملُ,Working
الشياطين,demons
بالخروج,By exit
رقصة,dance
تنسي,forget
تغلق,Close
يالهي,Oh my God
ردة,apostasy
الجعة,beer
الغرباء,strangers
تبعد,far away
الاتفاق,Agreement
الإيمان,Faith
القناة,Channel
مدار,orbit
حلمت,I dreamed
إزالة,removal
ضدك,Against you
حيّ,alive
التنظيف,Cleaning
وكم,And how much
بدوني,Without me
سأنتظر,I will wait
اتعلمين,Do you know
طلقة,shot
بوابة,gate
فرصتك,Your opportunity
الرغبة,Desire
تساوي,Equal
الحشيش,Hashish
وعن,And about
بعضكما,Some of you
صحيفة,newspaper
قوم,people
محاكمة,trial
تحولت,Transformed
أودري,Audrey
الساعات,Hours
.و,.and
صدفة,coincidence
بالحياة,In life
تغطية,coverage
فاي,Fay
بيرس,Pierce
تراها,You see it
سأخبر,I will tell
يشعرون,They feel
بنسبة,In proportion
الشديد,severe
آشلي,Ashley
خريطة,map
يومي,daily
ضرر,damage
رهيب,awesome
عجباً,Amazing
ميتا,Meta
أدع,I invite
بداخله,Inside it
اعنى,namely
يطلقون,They launch
صواب,right
الحشرات,insects
قصّة,story
سيدني,Sydney
بتغيير,By changing
قلبها,Her heart
أعمى,blind
حيثما,where
يكره,hates
الصيني,Chinese
تسليم,delivery
ماتي,Matty
جسده,His body
تعرفينه,You know him
يَعمَلُ,He works
العشب,grass
العفو,pardon
اعادة,re
أتظنين,Do you think
تدعني,Let me
المناطق,areas
أدعك,I'll rub you
مثيراً,exciting
سيده,Mrs
تتزوج,She gets married
الواجب,the duty
تحياتي,my regards
أرجع,Return
مشاعري,My feelings
غاز,gas
لعبت,I played
حافة,edge
الفاعل,actor
الريح,wind
الأمراض,Diseases
أصنع,I make
انتباه,attention
ساعد,Help
سَيَكُونُ,It will be
تحديداً,Specifically
الروسية,Russian
الرجلِ,The man
الانفجار,explosion
إنجلترا,England
ظƒ,ظƒ
تعقب,Track
تضيع,Lost
الأشرار,The villains
برايان,Brian
عصر,era
مجانية,Free
فمي,My mouth
صادق,honest
إعطاء,giving
بينهما,between them
البيسبول,baseball
اعد,Prepare
صناعة,industry
رأت,She saw
التظاهر,Pretend
متوتر,tense
أسمي,my name
يسعى,Seeks
أخرس,silent
التهم,charges
سونغ,Song
بعملي,My work
استمعي,Listen
إبنة,daughter
الشاهد,witness
توقيع,signature
رسالتك,Your message
بروفيسور,Professor
الذكاء,intelligence
يظنون,They think
أذكى,smartest
ادفع,Push
عودتك,Your return
الشاشة,screen
كابوس,nightmare
بيشوب,Bishop
إستمر,I continue
برايس,Price
خمسون,fifty
الجناح,wing
إدي,Eddie
اشخاص,people
بشر,Humans
توفيت,She died
سيث,Seth
النصر,Victory
ولكنّي,But I
تفتيش,inspection
درجات,grades
تثبت,Prove
شقتي,My apartment
توجيه,directing
عقله,His mind
أمري,My order
غد,tomorrow
تمارس,practice
تخبري,Tell
أتطلع,I look forward
تركتني,She left me
لائق,Fit
قدرة,capacity
إنّما,But
انسة,Ms.
أحقاً,Really?
علاقتك,Your relationship
تعتقدي,Do you think
أبن,son
تمكن,He managed
سكين,knife
أساس,basis
ضربت,hit
المقدسة,Holy
شرق,east
وأعلم,And I know
نكتشف,We discover
سمح,allowed
المقام,The shrine
يقضي,He spends
رائعين,Wonderful
كاذبة,Liar
شغل,fill
حجرة,room
حملة,campaign
إضافي,additional
تنفيذ,to implement
كعك,cakes
اغلق,close
أصوات,Voices
اووه,Oh
رمي,throw
تؤدي,Leads
معقدة,complex
بيك,Beck
الجلالة,Majesty
ببطئ,slowly
أعرض,Show
يتبقى,remaining
خالية,Free
يمثل,It represents
ثقب,hole
أختار,to choose
روب,Rob
التذاكر,Tickets
المكالمات,Calls
أوضح,He explained
ويقول,He says
ابعد,far
زرقاء,blue
ريتا,Rita
يرجع,Returns
ستّة,six
الحقوق,Rights
الحبّ,love
أكتشف,find out
أخرجوا,Get out
موهبة,talent
سأجعل,I will make
للبيع,For sale
المالك,Owner
قُلت,I said
خطئي,My mistake
المحدد,Specific
إيرل,Earl
أعثر,Find
إختيار,to choose
وافق,Agreed
صديقها,her friend
شطيرة,sandwich
طريقهم,Their way
يريدك,He wants you
الآلي,Automated
قضايا,Cases
المقاومة,Resistance
مطاردة,chase
لكـن,But
فصاعداً,Onwards
أقصده,I mean him
يدري,He knows
بحياتك,In your life
هَلّ,Do
النهائية,Final
لأعلى,Up
تضرب,Hit
حذرة,cautious
أصاب,hit
ماني,Mani
النزول,Descent
للتفكير,To think
سيقومون,They will
روحك,Your soul
هائلة,enormous
العاهرات,prostitutes
أخبرتهم,I told them
إنتهيت,I finished
سيدات,Ladies
الوطنية,Nationalism
أخيرة,Last
سأرحل,I will leave
بالغرض,For the purpose
بالحب,With love
بالامر,By order
هذ,this
تعيشين,You live
كام,Cam
حبيب,dear
قبول,acceptance
عيناي,My eyes
كافة,all
فتحة,slot
فذلك,That
ياالهي,"Oh, my God"
أكرهك,I hate you
الصديق,Friend
اوكي,okay
آخرون,others
الكعكة,cake
زر,button
حصلتُ,I got
الوحدات,Units
كالعادة,As usual
الانتقام,revenge
أخبركم,I told you
علية,attic
وأبي,And my father
الرسمي,Official
إنَّ,that
تمنيت,I wished
نحضر,We prepare
فإنّ,then
وصلوا,They arrived
النجم,The star
بلير,Blair
يجعلنا,makes us
لوجه,face
طيباً,Okay
أعطى,give
سنبقى,We will remain
اتكلم,I speak
لاشئ,nothing
أحضري,Bring it
يختفي,disappears
الخضراء,Green
محرك,engine
سياتل,Seattle
جواز,Passport
الضربة,The strike
البيانو,piano
الرحمة,Mercy
ليله,night
تعترف,She admits
لليلة,For the night
أسمه,His name
الأصلي,original
